reservation_date,adults,children,booking_changes,total_of_special_requests,reservation_count
2016-01-02,132,28,21,22,65
2016-01-03,200,22,38,53,104
2016-01-04,69,18,8,24,36
2016-01-05,195,17,5,52,98
2016-01-06,51,14,4,18,27
2016-01-07,48,15,4,19,27
2016-01-08,79,13,8,26,46
2016-01-09,43,15,6,16,21
2016-01-10,55,13,4,27,28
2016-01-11,80,18,11,28,40
2016-01-12,55,15,5,28,34
2016-01-13,65,14,16,18,42
2016-01-14,101,14,3,13,55
2016-01-15,92,15,13,31,56
2016-01-16,76,16,3,26,40
2016-01-17,94,21,13,37,45
2016-01-18,148,19,4,35,73
2016-01-19,159,15,3,21,84
2016-01-20,121,19,9,31,70
2016-01-21,141,14,13,39,82
2016-01-22,159,13,3,23,86
2016-01-23,59,15,5,17,30
2016-01-24,91,18,5,31,46
2016-01-25,84,18,10,21,44
2016-01-26,142,15,3,23,72
2016-01-27,78,19,3,24,47
2016-01-28,85,21,11,43,51
2016-01-29,76,22,8,23,47
2016-01-30,42,13,0,15,21
2016-01-31,76,22,11,16,38
2016-02-01,43,14,6,17,22
2016-02-02,64,13,5,20,34
2016-02-03,82,24,9,21,47
2016-02-04,62,17,7,21,44
2016-02-05,125,15,11,22,77
2016-02-06,37,14,2,13,18
2016-02-07,107,20,12,47,54
2016-02-08,65,19,7,33,32
2016-02-09,232,32,25,59,146
2016-02-10,96,19,3,30,45
2016-02-11,78,14,3,16,45
2016-02-12,118,19,4,39,61
2016-02-13,75,14,15,25,37
2016-02-14,221,19,19,52,110
2016-02-15,139,30,12,61,70
2016-02-16,63,15,5,17,32
2016-02-17,65,14,7,16,40
2016-02-18,85,22,10,27,49
2016-02-19,80,22,14,23,48
2016-02-20,72,16,8,27,39
2016-02-21,96,20,8,33,46
2016-02-22,97,20,8,22,48
2016-02-23,57,17,4,18,32
2016-02-24,94,21,9,30,51
2016-02-25,106,18,11,30,60
2016-02-26,63,17,8,14,41
2016-02-27,61,16,9,21,33
2016-02-28,72,22,4,29,35
2016-02-29,254,35,23,76,130
2016-03-01,95,16,8,24,49
2016-03-02,67,14,8,29,42
2016-03-03,107,13,14,26,64
2016-03-04,177,17,16,29,97
2016-03-05,66,18,6,15,35
2016-03-06,148,17,17,54,78
2016-03-07,72,20,9,21,36
2016-03-08,84,22,7,28,43
2016-03-09,112,19,13,34,67
2016-03-10,75,21,12,30,48
2016-03-11,80,14,9,15,45
2016-03-12,148,14,30,18,79
2016-03-13,182,25,27,31,96
2016-03-14,82,25,6,19,42
2016-03-15,83,18,10,24,45
2016-03-16,111,21,14,16,68
2016-03-17,94,16,20,21,57
2016-03-18,174,14,17,17,103
2016-03-19,63,18,8,11,34
2016-03-20,127,18,9,41,64
2016-03-21,86,15,3,20,41
2016-03-22,135,20,18,29,69
2016-03-23,128,20,19,41,74
2016-03-24,193,31,30,38,103
2016-03-25,63,17,5,26,31
2016-03-26,75,18,12,24,35
2016-03-27,222,30,35,45,109
2016-03-28,162,27,18,48,80
2016-03-29,176,19,12,32,89
2016-03-30,100,19,3,21,53
2016-03-31,130,25,15,26,68
2016-04-01,71,22,3,24,38
2016-04-02,53,21,5,15,25
2016-04-03,118,24,49,20,61
2016-04-04,210,28,61,29,111
2016-04-05,67,20,24,16,35
2016-04-06,144,16,32,25,88
2016-04-07,63,16,8,18,41
2016-04-08,101,17,16,31,57
